[DATETIME_KEY],AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,BCHEUR,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURHUF,EURJPY,EURNZD,EURPLN,EURRUB,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,GOLD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,PLATINUM,SILVER,USDCAD,USDCHF,USDCNH,USDCZK,USDJPY,USDMXN,USDPLN,USDRON,USDRUB,WTI
2020.12.10T12:02:00,-1,-1,-1,-2,-1,2,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,-1,1,2
2020.12.10T12:03:00,-1,-1,1,-2,1,1,1,2,1,1,1,1,-1,-1,1,-1,-1,-1,1,2,2,2,2,1,2,2,2,1,2,2,1,1,-2,-1,-1,-1,1,-2,-1,-1,-2,2
2020.12.10T12:04:00,-1,-1,-1,2,-1,1,-1,1,1,2,1,1,1,1,1,2,2,-1,1,1,1,1,1,1,1,-1,-2,-1,-1,-1,-2,-1,-1,-1,1,-1,1,-2,1,-1,-2,1
2020.12.10T12:05:00,2,2,1,2,2,-1,2,1,-2,-2,-2,-1,-2,2,-2,-2,-1,2,-2,1,2,2,2,2,2,-2,1,2,1,1,-1,-2,-1,2,1,2,-1,1,1,1,2,-2
2020.12.10T12:06:00,-2,-2,-2,-2,-1,-1,-1,-1,-1,2,1,1,-1,-2,1,1,-1,-2,1,2,1,1,1,1,1,-1,1,1,-1,1,-1,-2,1,1,-2,-1,-1,1,-1,1,-2,1
2020.12.10T12:07:00,-1,-1,-1,-2,-1,-2,-1,1,1,1,1,-1,1,-1,-1,-1,-1,-2,1,-1,-1,-1,-1,-2,-1,1,1,1,1,1,1,1,-1,-1,-1,-2,-1,-2,-1,-1,-2,-1
2020.12.10T12:08:00,2,2,1,2,2,1,-1,1,1,-2,-1,-1,-1,-2,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-2,1,-1,-1,1,1,-1,-2,1,1,-1,-1
2020.12.10T12:09:00,-2,-2,-2,-1,-2,-1,-1,-2,-1,2,1,1,2,1,-1,1,2,1,-1,-1,-2,-2,-2,-1,-2,1,-1,-1,-2,-2,-1,-1,2,1,1,1,1,2,2,1,2,-1
2020.12.10T12:10:00,2,2,2,2,2,-2,-1,-1,1,-2,1,1,1,1,1,-1,-1,-1,2,-2,1,1,1,-1,1,1,2,2,2,2,1,1,-2,-2,-1,-1,-2,-2,-1,-1,-2,2
2020.12.10T12:11:00,1,2,1,1,1,2,1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-1,1,2,1,-1,1,-1,1,1,-1,1,1,-2,-1,1,1,-1
2020.12.10T12:12:00,1,-1,1,1,1,-1,-2,1,1,1,1,1,1,1,1,1,-1,2,1,-1,1,-1,1,-1,-1,2,1,-1,1,1,1,2,1,-1,1,-1,1,-1,-1,-1,1,-2
2020.12.10T12:13:00,1,2,1,2,1,1,2,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,1
2020.12.10T12:14:00,2,-1,1,-1,1,1,-2,-2,1,1,1,-1,-2,-1,1,-1,1,-1,1,2,2,2,2,2,2,1,2,-1,1,1,1,2,2,-1,-1,-1,-1,1,1,-1,-1,-1
2020.12.10T12:15:00,2,-1,-1,2,-2,1,-1,-2,-1,1,1,1,2,2,1,2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-1,1,-1,-2,-2,-1,-2,2,2,1,1,2,2,-1,1,2,-1
